,Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Source,Mod_lat,Mod_long,lat_noise,long_noise
109,MAERSK KIMI,9162227,244132000,24° 06.292' N,058° 37.154' E,17/06/2019 01:16:02 +00:00,NW,309,16.8,T-AIS,24.104866666666666,58.619233333333334,24.101710692352665,58.62043159216532
110,MAERSK KIMI,9162227,244132000,24° 07.255' N,058° 35.875' E,17/06/2019 01:21:26 +00:00,NW,309,16.7,T-AIS,24.120916666666666,58.59791666666667,24.124047419802526,58.59859814681691
111,MAERSK KIMI,9162227,244132000,24° 08.297' N,058° 34.625' E,17/06/2019 01:26:55 +00:00,NW,312,16.8,T-AIS,24.138283333333334,58.577083333333334,24.13234377351778,58.57387313457484
112,MAERSK KIMI,9162227,244132000,24° 09.288' N,058° 33.483' E,17/06/2019 01:32:02 +00:00,NW,313,16.9,T-AIS,24.1548,58.55805,24.15021120197229,58.55804896284836
113,MAERSK KIMI,9162227,244132000,24° 10.467' N,058° 32.152' E,17/06/2019 01:38:01 +00:00,NW,315,16.9,T-AIS,24.17445,58.535866666666664,24.179729124844165,58.542423703466355
114,MAERSK KIMI,9162227,244132000,24° 11.575' N,058° 30.921' E,17/06/2019 01:43:37 +00:00,NW,314,17.0,T-AIS,24.192916666666665,58.51535,24.194614843454154,58.50881770807559
115,MAERSK KIMI,9162227,244132000,24° 12.593' N,058° 29.793' E,17/06/2019 01:48:43 +00:00,NW,314,17.0,T-AIS,24.209883333333334,58.49655,24.203994134930465,58.49406509961816
116,MAERSK KIMI,9162227,244132000,24° 13.684' N,058° 28.587' E,17/06/2019 01:54:13 +00:00,NW,314,16.9,T-AIS,24.228066666666667,58.47645,24.229102000253455,58.47190404706479
117,MAERSK KIMI,9162227,244132000,24° 14.780' N,058° 27.367' E,17/06/2019 01:59:43 +00:00,NW,314,17.0,T-AIS,24.246333333333332,58.45611666666667,24.243953861310068,58.454260583130356
118,MAERSK KIMI,9162227,244132000,24° 15.846' N,058° 26.175' E,17/06/2019 02:05:07 +00:00,NW,314,17.0,T-AIS,24.2641,58.43625,24.25432828249681,58.44191449961529
119,MAERSK KIMI,9162227,244132000,24° 16.948' N,058° 25.012' E,17/06/2019 02:10:31 +00:00,NW,315,16.9,T-AIS,24.282466666666668,58.416866666666664,24.283245475502724,58.421315126731606
120,MAERSK KIMI,9162227,244132000,24° 18.137' N,058° 23.767' E,17/06/2019 02:16:19 +00:00,NW,316,17.0,T-AIS,24.30228333333333,58.396116666666664,24.308380892119725,58.39564234009762
121,MAERSK KIMI,9162227,244132000,24° 19.228' N,058° 22.622' E,17/06/2019 02:21:36 +00:00,NW,315,17.2,T-AIS,24.32046666666667,58.37703333333333,24.317325965134735,58.37778008301613
122,MAERSK KIMI,9162227,244132000,24° 20.371' N,058° 21.427' E,17/06/2019 02:27:06 +00:00,NW,316,17.2,T-AIS,24.33951666666667,58.35711666666667,24.333281145104717,58.36125557310612
123,MAERSK KIMI,9162227,244132000,24° 21.510' N,058° 20.234' E,17/06/2019 02:32:37 +00:00,NW,315,17.1,T-AIS,24.3585,58.33723333333333,24.359077730039495,58.32808346117397
124,MAERSK KIMI,9162227,244132000,24° 22.610' N,058° 19.091' E,17/06/2019 02:37:54 +00:00,NW,316,17.1,T-AIS,24.376833333333334,58.31818333333333,24.38336953756536,58.33328909216273
125,MAERSK KIMI,9162227,244132000,24° 23.730' N,058° 17.842' E,17/06/2019 02:43:31 +00:00,NW,313,17.0,T-AIS,24.3955,58.29736666666667,24.394031984334596,58.30279229065403
126,MAERSK KIMI,9162227,244132000,24° 24.757' N,058° 16.638' E,17/06/2019 02:48:48 +00:00,NW,312,17.0,T-AIS,24.41261666666667,58.2773,24.41890166210148,58.269869194217414
127,MAERSK KIMI,9162227,244132000,24° 25.848' N,058° 15.360' E,17/06/2019 02:54:25 +00:00,NW,312,17.0,T-AIS,24.4308,58.256,24.430694557648362,58.25441175221925
128,MAERSK KIMI,9162227,244132000,24° 26.879' N,058° 14.160' E,17/06/2019 02:59:43 +00:00,NW,313,17.0,T-AIS,24.447983333333333,58.236,24.44483747346708,58.23622422232577
129,MAERSK KIMI,9162227,244132000,24° 28.645' N,058° 12.093' E,17/06/2019 03:08:48 +00:00,NW,313,17.1,T-AIS,24.477416666666667,58.20155,24.489615664148,58.20766261216493
130,MAERSK KIMI,9162227,244132000,24° 29.734' N,058° 10.809' E,17/06/2019 03:14:24 +00:00,NW,313,17.1,T-AIS,24.495566666666665,58.18015,24.49328433573295,58.177832350580516
131,MAERSK KIMI,9162227,244132000,24° 30.802' N,058° 09.548' E,17/06/2019 03:19:55 +00:00,NW,312,16.9,T-AIS,24.513366666666666,58.15913333333334,24.5185006228024,58.156560449093554
132,MAERSK KIMI,9162227,244132000,24° 31.818' N,058° 08.340' E,17/06/2019 03:25:13 +00:00,NW,312,16.8,T-AIS,24.5303,58.139,24.53170285456263,58.14640991327527
133,MAERSK KIMI,9162227,244132000,24° 32.841' N,058° 07.121' E,17/06/2019 03:30:36 +00:00,NW,313,16.7,T-AIS,24.54735,58.11868333333334,24.552342965380284,58.11589593404797
